16,,,,,,,,,,,,,,,
1,145,62,80,3,132,139,13,1,145,,,,,,#
1,145,11,39,26,17,45,109,107,5,28,35,71,145,,#
1,145,133,129,73,127,50,10,112,12,78,87,91,145,,#
1,145,95,114,110,119,69,40,121,88,52,14,145,,,#
2,146,117,75,55,67,85,57,36,61,111,146,,,,#
2,146,8,125,34,101,100,72,74,141,24,146,,,,#
2,146,51,6,4,146,,,,,,,,,,#
2,146,37,79,19,70,135,105,115,83,56,146,,,,#
3,147,118,42,38,20,103,27,31,144,99,130,32,147,,#
3,147,124,60,136,89,140,47,113,44,147,,,,,#
3,147,48,134,7,90,30,77,9,131,142,147,,,,#
3,147,2,64,137,97,102,94,147,,,,,,,#
4,148,123,25,126,76,116,54,120,98,49,16,148,,,#
4,148,92,63,143,15,41,81,23,122,96,138,84,106,148,#
4,148,86,21,66,29,65,33,93,59,82,53,148,,,#
4,148,43,104,128,68,46,108,58,22,18,148,,,,#
