12,,,,,,,,,,,,,,,,,
1,145,102,101,96,7,84,27,80,57,29,73,122,28,145,,,#
1,145,129,114,13,115,44,123,71,17,11,66,47,39,53,40,145,#
2,146,104,10,42,35,63,25,34,109,140,74,97,127,106,133,146,#
2,146,128,113,103,51,118,18,4,110,120,12,142,90,50,23,146,#
3,147,32,37,126,88,87,6,117,79,70,67,105,62,147,,,#
3,147,91,33,136,41,24,46,135,56,147,,,,,,,#
4,148,132,65,59,15,125,45,68,108,134,139,77,5,3,19,148,#
4,148,8,38,16,22,61,26,9,69,143,49,119,121,148,,,#
5,149,36,124,95,86,89,94,60,58,100,52,149,,,,,#
5,149,138,112,14,76,1,85,64,83,107,21,149,,,,,#
6,150,43,81,55,131,137,31,30,2,48,92,144,72,150,,,#
6,150,54,75,93,141,82,116,78,20,130,98,111,99,150,,,#
