24,,,,,,,,,,,,,,,,
1,0,22,67,14,12,3,10,2,78,33,1,0,,,,#
1,0,18,24,6,48,7,5,0,,,,,,,,#
1,0,47,9,37,44,19,8,0,,,,,,,,#
1,0,58,41,43,13,4,21,11,0,,,,,,,#
1,0,15,23,34,40,75,83,0,,,,,,,,#
1,0,17,92,38,27,39,20,16,0,,,,,,,#
2,0,29,59,19,20,16,25,0,,,,,,,,#
2,0,22,42,14,12,3,76,36,0,,,,,,,#
2,0,32,17,64,7,5,9,87,0,,,,,,,#
2,0,28,79,90,63,13,8,0,,,,,,,,#
2,0,15,30,23,26,45,35,31,4,82,91,46,21,11,0,#
2,0,18,24,6,50,51,10,2,1,0,,,,,,#
3,0,80,24,6,48,7,5,9,0,,,,,,,#
3,0,15,23,34,49,40,4,77,54,0,,,,,,#
3,0,17,55,93,38,27,39,16,0,,,,,,,#
3,0,47,65,37,44,19,20,68,8,0,,,,,,#
3,0,57,89,41,43,13,61,52,11,21,0,,,,,#
3,0,22,18,14,12,3,96,10,2,33,1,0,,,,#
4,0,6,24,18,14,71,15,30,23,46,0,,,,,#
4,0,32,94,7,5,16,20,74,19,81,0,,,,,#
4,0,95,29,28,26,45,35,4,31,11,21,0,,,,#
4,0,84,86,13,8,70,0,,,,,,,,,#
4,0,72,60,73,62,17,69,9,25,0,,,,,,#
4,0,22,42,85,12,3,53,56,66,36,10,2,88,1,0,#
