25,,,,,,,,,,,,,,,,,,
1,0,108,24,70,19,12,10,14,3,17,39,11,35,5,0,,,#
1,0,15,23,102,48,2,9,89,140,47,60,124,94,32,106,0,,#
1,0,18,65,33,120,98,49,55,54,126,25,22,0,,,,,#
1,0,138,96,29,53,30,7,66,21,16,43,0,,,,,,#
1,0,28,71,26,1,13,27,31,20,38,44,42,41,0,,,,#
1,0,58,68,4,67,85,57,36,34,8,6,0,,,,,,#
2,0,109,91,133,3,40,69,52,88,127,14,73,129,87,45,5,0,#
2,0,37,24,19,141,72,50,10,112,12,0,,,,,,,#
2,0,118,20,31,27,13,1,26,62,17,11,35,28,0,,,,#
2,0,15,23,2,64,9,77,30,7,134,97,32,81,84,0,,,#
2,0,4,135,105,101,115,61,36,34,83,56,8,6,51,46,0,,#
2,0,18,22,25,33,59,29,21,86,16,63,0,,,,,,#
3,0,24,70,79,19,12,10,14,80,3,17,39,35,5,0,,,#
3,0,18,65,29,82,76,116,49,55,54,33,25,22,0,,,,#
3,0,11,71,26,95,1,13,27,114,103,31,20,38,144,0,,,#
3,0,15,130,48,2,142,131,9,47,136,60,113,44,42,41,0,,#
3,0,104,16,43,0,,,,,,,,,,,,,#
3,0,58,68,4,75,67,57,36,34,8,6,0,,,,,,#
3,0,28,23,32,30,7,90,53,66,21,92,0,,,,,,#
4,0,63,16,18,123,128,33,93,59,29,21,0,,,,,,#
4,0,78,12,10,50,74,72,100,19,24,37,51,46,0,,,,#
4,0,4,117,125,36,61,111,34,56,8,6,25,22,0,,,,#
4,0,99,20,31,27,110,119,69,40,52,121,14,45,5,0,,,#
4,0,15,23,2,64,137,9,30,7,32,122,143,0,,,,,#
4,0,11,26,1,13,132,139,3,17,62,107,35,28,0,,,,#
