MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
MDVRPTW,5,240,420,180,4,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,65.991,-49.829,20,10,211,530
2,-36.938,-36.743,20,25,205,555
3,-2.734,18.774,13,18,92,331
4,31.116,-35.907,13,16,210,400
5,2.789,8.008,17,14,295,640
6,31.152,43.665,24,7,157,457
7,-36.304,-21.307,15,9,79,402
8,52.814,35.046,12,16,144,413
9,11.267,20.66,20,24,83,392
10,-0.623,23.114,20,6,195,482
11,43.091,-12.36,3,22,80,321
12,6.854,19.073,8,11,158,431
13,-6.848,25.317,16,19,278,527
14,-27.93,-23.712,20,20,175,491
15,33.24,-30.487,21,20,187,389
16,63.885,-52.881,23,16,216,564
17,-13.672,-43.945,21,5,193,431
18,-0.647,-27.502,3,21,175,451
19,59.406,-49.261,19,19,62,288
20,27.167,-5.713,20,18,216,492
21,70.001,-20.844,7,22,268,587
22,35.327,-65.167,14,19,217,537
23,-14.386,-42.236,24,15,115,328
24,19.366,30.273,3,24,175,432
25,-39.789,10.101,13,20,226,563
26,-15.753,-40.204,1,17,182,423
27,-28.418,-40.503,5,20,251,503
28,27.081,9.735,2,12,132,444
29,22.205,-9.216,9,23,88,279
30,-0.83,-6.525,18,15,190,540
31,10.217,75.531,5,19,267,549
32,7.446,18.5,12,23,267,567
33,48.914,-20.294,11,9,192,533
34,-18.958,-29.675,17,21,224,488
35,16.815,-6.659,21,17,215,569
36,2.509,-30.42,5,6,277,632
37,15.424,4.913,5,10,226,438
38,60.315,89.801,7,9,200,477
39,40.405,-45.367,24,19,265,516
40,-26.837,-54.272,1,17,147,462
41,69.171,72.577,12,22,151,429
42,-22.815,46.173,6,8,255,543
43,-14.258,-30.249,5,25,285,529
44,76.05,12.073,19,13,182,484
45,63.043,60.022,23,1,128,372
46,-20.239,-81.97,8,15,280,505
47,-41.168,-42.023,1,16,122,428
48,79.199,-29.016,20,20,288,566
49,-20.728,-7.068,16,14,186,545
50,-4.163,-53.497,8,2,141,329
51,39.594,-40.46,16,5,86,371
52,-47.125,-77.85,25,16,180,403
53,-1.233,49.182,5,12,87,364
54,-0.372,-27.264,10,1,120,406
55,31.537,-8.722,24,15,210,537
56,-0.134,-20.264,16,5,279,469
57,66.394,-26.691,7,9,132,455
58,6.104,-64.093,14,8,111,308
59,13.544,-20.874,11,2,191,484
60,54.211,-6.537,15,10,183,433
61,22.046,-34.137,23,25,252,562
62,-9.723,4.706,5,24,240,461
63,-11.584,-46.857,16,7,272,583
64,-2.905,-0.305,13,14,226,554
65,13.837,-44.452,18,3,267,490
66,17.48,27.747,14,23,247,500
67,2.972,-43.689,3,21,164,492
68,-44.354,-38.202,22,13,126,406
69,-59.399,1.514,16,15,120,366
70,-13.452,-75.531,16,14,279,532
71,-5.518,-51.947,2,7,108,370
72,-9.589,-26.88,19,20,247,475
73,19.318,29.498,23,6,78,398
74,26.245,36.743,6,24,216,466
75,43.707,-28.033,11,17,215,436
76,-52.026,-35.339,19,3,182,409
77,-8.435,-0.116,3,15,185,496
78,89.111,62.122,14,6,163,393
79,6.067,-16.132,14,21,269,526
80,27.094,-5.103,19,25,200,397
81,27.527,-15.344,3,18,158,399
82,42.511,32.056,18,1,196,474
83,25.311,12.689,24,19,208,388
84,47.778,-12.769,6,17,248,514
85,-3.143,-13.837,1,20,227,456
86,12.482,-78.101,3,1,76,312
87,-21.039,-3.43,15,13,106,444
88,-3.149,-55.432,18,25,135,432
89,53.009,84.9,5,16,249,564
90,35.638,-47.552,23,5,131,470
91,43.427,-18.439,10,18,113,431
92,6.598,-54.578,20,17,158,342
93,87.952,94.012,11,15,245,428
94,39.105,-48.743,16,13,192,487
95,-48.34,-26.477,15,15,138,352
96,72.003,-9.253,19,2,263,498
97,-37.732,3.351,4,1,177,373
98,-65.967,-36.749,14,9,176,406
99,-16.669,-35.284,23,16,212,394
100,10.742,-4.669,11,6,132,476
101,15.594,-5.817,21,18,183,533
102,21.606,-18.109,14,24,160,424
103,9.784,49.28,16,24,106,336
104,94.147,-4.492,25,9,204,532
105,10.382,-16.302,17,19,297,488
106,-1.453,-0.861,16,12,189,520
107,-6.219,25.305,13,22,114,374
108,-6.25,10.217,23,13,263,578
109,-17.444,-70.795,10,20,143,384
110,-55.09,-43.854,2,25,282,535
111,-9.442,23.724,15,1,137,494
112,8.978,35.406,14,24,160,473
113,-16.754,-0.812,22,10,271,520
114,66.852,-37.842,15,22,183,415
115,14.716,-23.724,16,14,162,408
116,33.472,20.026,12,12,255,453
117,66.394,-70.111,14,23,114,327
118,-5.664,8.881,15,14,274,613
119,-5.103,-46.729,11,23,241,497
120,-8.826,55.743,11,25,163,476
121,5.847,-3.186,4,5,228,435
122,-25.726,-37.695,23,7,295,537
123,-15.363,-24.548,13,25,201,391
124,43.793,-11.102,22,11,102,437
