PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,,,,,
PVRPTW,15,216,450,180,1,6,,,,,,,,,,,,,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT,frequency of visit,number of possible visit combinations,list of all possible visit combinations,,,,,,,,,,
1,-41.235,-66.357,14,3,400,548,6,1,0,1,2,3,4,5,,,,,
2,34.064,-59.357,16,16,396,563,6,1,0,1,2,3,4,5,,,,,
3,20.917,-52.582,17,8,60,230,6,1,0,1,2,3,4,5,,,,,
4,-38.538,-37.396,19,15,314,478,6,1,0,1,2,3,4,5,,,,,
5,41.058,22.931,6,12,400,572,6,1,0,1,2,3,4,5,,,,,
6,-54.034,-53.131,7,13,374,526,6,1,0,1,2,3,4,5,,,,,
7,8.099,80.725,3,8,391,536,6,1,0,1,2,3,4,5,,,,,
8,81.299,13.409,10,24,239,360,6,1,0,1,2,3,4,5,,,,,
9,14.459,-2.972,4,14,401,528,6,1,0,1,2,3,4,5,,,,,
10,-52.539,60.107,17,17,462,637,6,1,0,1,2,3,4,5,,,,,
11,-57.202,-34.229,10,8,181,271,6,1,0,1,2,3,4,5,,,,,
12,-65.552,-40.222,13,11,386,530,6,1,0,1,2,3,4,5,,,,,
13,-19.751,-10.278,20,8,433,601,6,1,0,1,2,3,4,5,,,,,
14,-26.965,-87.012,6,17,157,289,6,1,0,1,2,3,4,5,,,,,
15,3.192,-88.654,18,19,331,491,6,1,0,1,2,3,4,5,,,,,
16,34.521,32.837,3,13,354,528,6,1,0,1,2,3,4,5,,,,,
17,80.035,5.273,10,2,381,502,6,1,0,1,2,3,4,5,,,,,
18,-39.838,-67.731,4,8,131,235,6,1,0,1,2,3,4,5,,,,,
19,14.6,11.365,15,21,470,561,6,1,0,1,2,3,4,5,,,,,
20,-20.99,-80.511,4,13,411,552,6,1,0,1,2,3,4,5,,,,,
21,48.242,47.284,6,17,392,544,6,1,0,1,2,3,4,5,,,,,
22,59.338,-31.86,19,4,417,577,6,1,0,1,2,3,4,5,,,,,
23,-13.995,-45.624,7,22,269,361,6,1,0,1,2,3,4,5,,,,,
24,32.397,-32.532,20,24,385,504,6,1,0,1,2,3,4,5,,,,,
25,2.826,50.824,12,11,164,336,6,1,0,1,2,3,4,5,,,,,
26,-66.077,-34.686,8,6,424,575,6,1,0,1,2,3,4,5,,,,,
27,-13.66,18.64,18,19,81,181,6,1,0,1,2,3,4,5,,,,,
28,-59.344,12.769,1,11,386,496,6,1,0,1,2,3,4,5,,,,,
29,-5.133,-18.463,25,23,86,212,6,1,0,1,2,3,4,5,,,,,
30,-22.961,-21.729,16,4,372,487,6,1,0,1,2,3,4,5,,,,,
31,58.13,46.606,5,5,469,586,6,1,0,1,2,3,4,5,,,,,
32,-49.603,-76.624,7,16,435,529,6,1,0,1,2,3,4,5,,,,,
33,-4.803,43.036,20,2,424,599,6,1,0,1,2,3,4,5,,,,,
34,68.616,-19.623,3,13,369,511,6,1,0,1,2,3,4,5,,,,,
35,37.915,63.599,11,11,215,375,6,1,0,1,2,3,4,5,,,,,
36,1.251,-26.55,15,9,244,391,6,1,0,1,2,3,4,5,,,,,
37,-37.952,1.685,15,18,253,416,6,1,0,1,2,3,4,5,,,,,
38,-40.503,8.038,8,7,476,604,6,1,0,1,2,3,4,5,,,,,
39,-8.392,-38.678,13,24,374,494,6,1,0,1,2,3,4,5,,,,,
40,-36.725,25.494,16,5,413,520,6,1,0,1,2,3,4,5,,,,,
41,-47.754,-50.073,4,2,320,453,6,1,0,1,2,3,4,5,,,,,
42,22.595,-28.357,9,5,100,253,6,1,0,1,2,3,4,5,,,,,
43,-36.365,-48.163,5,5,71,221,6,1,0,1,2,3,4,5,,,,,
44,75.452,-13.422,20,3,432,555,6,1,0,1,2,3,4,5,,,,,
45,-64.52,-13.232,10,13,193,320,6,1,0,1,2,3,4,5,,,,,
46,1.257,29.156,9,2,476,600,6,1,0,1,2,3,4,5,,,,,
47,-1.569,-35.974,18,10,450,581,6,1,0,1,2,3,4,5,,,,,
48,46.747,6.696,13,12,189,304,6,1,0,1,2,3,4,5,,,,,
49,82.08,27.057,17,24,177,324,6,1,0,1,2,3,4,5,,,,,
50,74.695,19.366,22,21,172,307,6,1,0,1,2,3,4,5,,,,,
51,47.015,9.338,5,18,367,502,6,1,0,1,2,3,4,5,,,,,
52,-62.036,-21.326,12,5,389,512,6,1,0,1,2,3,4,5,,,,,
53,9.192,20.038,4,15,454,561,6,1,0,1,2,3,4,5,,,,,
54,-3.094,21.582,5,11,410,581,6,1,0,1,2,3,4,5,,,,,
55,-75.446,13.086,22,7,237,372,3,2,0,2,4,.,1,3,5,,,,
56,10.034,-63.739,7,3,176,277,3,2,0,2,4,.,1,3,5,,,,
57,71.814,26.501,12,17,379,514,3,2,0,2,4,.,1,3,5,,,,
58,18.842,-38.019,10,14,462,640,3,2,0,2,4,.,1,3,5,,,,
59,-10.541,-31.305,18,14,138,312,3,2,0,2,4,.,1,3,5,,,,
60,8.252,-91.15,17,7,384,543,3,2,0,2,4,.,1,3,5,,,,
61,72.821,-38.916,3,12,458,598,3,2,0,2,4,.,1,3,5,,,,
62,-30.157,38.776,1,5,347,454,3,2,0,2,4,.,1,3,5,,,,
63,-56.256,-5.548,9,11,192,341,3,2,0,2,4,.,1,3,5,,,,
64,-8.398,-37.604,12,17,222,375,3,2,0,2,4,.,1,3,5,,,,
65,15.021,13.708,4,3,272,364,3,2,0,2,4,.,1,3,5,,,,
66,-60.199,24.292,2,7,323,459,3,2,0,2,4,.,1,3,5,,,,
67,-13.794,-27.106,18,13,250,380,3,2,0,2,4,.,1,3,5,,,,
68,-34.796,-22.205,23,20,412,579,3,2,0,2,4,.,1,3,5,,,,
69,69.641,83.057,14,13,350,458,3,2,0,2,4,.,1,3,5,,,,
70,-44.44,30.09,6,4,119,277,3,2,0,2,4,.,1,3,5,,,,
71,48.633,3.021,1,3,163,289,3,2,0,2,4,.,1,3,5,,,,
72,-15.314,51.709,6,24,193,284,3,2,0,2,4,.,1,3,5,,,,
73,36.261,26.782,6,23,416,582,3,2,0,2,4,.,1,3,5,,,,
74,59.961,24.31,8,21,423,579,3,2,0,2,4,.,1,3,5,,,,
75,55.304,6.628,25,23,202,310,3,2,0,2,4,.,1,3,5,,,,
76,39.96,48.297,3,10,354,522,3,2,0,2,4,.,1,3,5,,,,
77,-48.895,-71.1,3,21,308,483,3,2,0,2,4,.,1,3,5,,,,
78,-2.338,-62.909,16,24,325,444,3,2,0,2,4,.,1,3,5,,,,
79,9.491,-41.901,5,9,388,504,3,2,0,2,4,.,1,3,5,,,,
80,-54.675,-18.439,6,22,129,222,3,2,0,2,4,.,1,3,5,,,,
81,10.98,-7.605,6,3,225,335,3,2,0,2,4,.,1,3,5,,,,
82,-69.824,-50.354,16,6,383,510,3,2,0,2,4,.,1,3,5,,,,
83,-40.308,-7.452,6,11,382,552,3,2,0,2,4,.,1,3,5,,,,
84,62.244,43.628,13,10,130,302,3,2,0,2,4,.,1,3,5,,,,
85,29.077,63.116,4,15,282,432,3,2,0,2,4,.,1,3,5,,,,
86,-12.067,-21.509,12,9,382,535,3,2,0,2,4,.,1,3,5,,,,
87,14.728,28.906,15,20,392,563,3,2,0,2,4,.,1,3,5,,,,
88,-63.086,-60.114,10,19,397,529,3,2,0,2,4,.,1,3,5,,,,
89,33.655,-0.928,19,19,227,394,3,2,0,2,4,.,1,3,5,,,,
90,-12.225,14.148,19,19,193,315,3,2,0,2,4,.,1,3,5,,,,
91,-89.966,51.514,1,20,121,273,3,2,0,2,4,.,1,3,5,,,,
92,-0.763,41.339,22,1,282,446,3,2,0,2,4,.,1,3,5,,,,
93,80.695,32.983,20,15,155,258,3,2,0,2,4,.,1,3,5,,,,
94,-53.394,-14.24,5,18,368,515,3,2,0,2,4,.,1,3,5,,,,
95,-53.284,-64.136,12,2,404,557,3,2,0,2,4,.,1,3,5,,,,
96,73.26,10.669,4,25,176,333,3,2,0,2,4,.,1,3,5,,,,
97,59.613,13.452,12,20,117,278,3,2,0,2,4,.,1,3,5,,,,
98,-37.012,6.476,8,18,372,484,3,2,0,2,4,.,1,3,5,,,,
99,-53.656,21.692,10,8,376,470,3,2,0,2,4,.,1,3,5,,,,
100,-36.89,18.372,2,3,448,543,3,2,0,2,4,.,1,3,5,,,,
101,-4.608,-13.806,25,2,314,486,3,2,0,2,4,.,1,3,5,,,,
102,53.802,36.993,14,15,336,489,3,2,0,2,4,.,1,3,5,,,,
103,48.468,-66.04,20,21,258,425,3,2,0,2,4,.,1,3,5,,,,
104,-46.393,-20.929,11,6,127,290,3,2,0,2,4,.,1,3,5,,,,
105,-15.045,-40.845,4,24,177,295,3,2,0,2,4,.,1,3,5,,,,
106,-73.621,-9.552,6,19,443,579,3,2,0,2,4,.,1,3,5,,,,
107,92.847,45.587,8,23,104,249,3,2,0,2,4,.,1,3,5,,,,
108,33.557,28.064,5,16,359,496,3,2,0,2,4,.,1,3,5,,,,
109,47.321,24.414,3,16,135,243,2,3,0,3,.,1,4,.,2,5,,,
110,-6.61,-30.157,4,9,474,581,2,3,0,3,.,1,4,.,2,5,,,
111,12.103,23.84,24,1,384,493,2,3,0,3,.,1,4,.,2,5,,,
112,-61.963,26.239,4,10,458,552,2,3,0,3,.,1,4,.,2,5,,,
113,23.877,9.808,11,14,174,334,2,3,0,3,.,1,4,.,2,5,,,
114,49.78,6.866,23,11,352,464,2,3,0,3,.,1,4,.,2,5,,,
115,-53.021,-21.484,1,4,200,298,2,3,0,3,.,1,4,.,2,5,,,
116,54.962,2.985,15,23,420,557,2,3,0,3,.,1,4,.,2,5,,,
117,4.865,-69.586,12,23,235,390,2,3,0,3,.,1,4,.,2,5,,,
118,33.948,45.209,10,22,420,595,2,3,0,3,.,1,4,.,2,5,,,
119,-32.166,-23.621,24,11,290,386,2,3,0,3,.,1,4,.,2,5,,,
120,-17.548,-46.765,5,14,233,332,2,3,0,3,.,1,4,.,2,5,,,
121,31.744,33.972,23,12,353,489,2,3,0,3,.,1,4,.,2,5,,,
122,45.374,22.131,15,13,203,296,2,3,0,3,.,1,4,.,2,5,,,
123,-5.219,-23.114,6,11,296,398,2,3,0,3,.,1,4,.,2,5,,,
124,-51.056,-46.545,20,9,183,324,2,3,0,3,.,1,4,.,2,5,,,
125,11.774,11.133,13,6,110,256,2,3,0,3,.,1,4,.,2,5,,,
126,-39.758,-13.019,3,25,260,375,2,3,0,3,.,1,4,.,2,5,,,
127,27.93,29.321,3,21,401,502,2,3,0,3,.,1,4,.,2,5,,,
128,33.74,66.595,25,13,478,642,2,3,0,3,.,1,4,.,2,5,,,
129,-91.815,29.858,15,23,343,494,2,3,0,3,.,1,4,.,2,5,,,
130,-24.628,-68.701,6,8,420,589,2,3,0,3,.,1,4,.,2,5,,,
131,44.659,20.465,4,7,176,284,2,3,0,3,.,1,4,.,2,5,,,
132,45.447,-21.069,14,8,189,304,2,3,0,3,.,1,4,.,2,5,,,
133,-37.366,-12.097,15,9,397,517,2,3,0,3,.,1,4,.,2,5,,,
134,41.998,0.153,17,2,269,432,2,3,0,3,.,1,4,.,2,5,,,
135,-42.822,-30.17,12,24,111,228,2,3,0,3,.,1,4,.,2,5,,,
136,34.906,-4.578,2,7,132,230,2,3,0,3,.,1,4,.,2,5,,,
137,-65.137,-43.079,11,23,147,252,2,3,0,3,.,1,4,.,2,5,,,
138,20.27,-4.999,5,21,222,313,2,3,0,3,.,1,4,.,2,5,,,
139,-36.731,-8.929,20,12,356,483,2,3,0,3,.,1,4,.,2,5,,,
140,-26.984,-19.568,16,23,443,558,2,3,0,3,.,1,4,.,2,5,,,
141,-31.299,-83.813,13,18,85,212,2,3,0,3,.,1,4,.,2,5,,,
142,-26.794,12.506,9,5,224,349,2,3,0,3,.,1,4,.,2,5,,,
143,-39.362,-58.521,23,15,466,617,2,3,0,3,.,1,4,.,2,5,,,
144,-34.369,0.61,11,11,410,564,2,3,0,3,.,1,4,.,2,5,,,
145,43.372,4.187,14,8,300,432,2,3,0,3,.,1,4,.,2,5,,,
146,-38.226,-9.448,3,2,298,462,2,3,0,3,.,1,4,.,2,5,,,
147,-25.61,-99.237,9,6,140,274,2,3,0,3,.,1,4,.,2,5,,,
148,48.059,29.517,21,23,150,241,2,3,0,3,.,1,4,.,2,5,,,
149,-43.628,-32.318,24,9,458,589,2,3,0,3,.,1,4,.,2,5,,,
150,-16.602,-29.327,4,1,402,575,2,3,0,3,.,1,4,.,2,5,,,
151,-29.81,-12.408,18,12,118,236,2,3,0,3,.,1,4,.,2,5,,,
152,-51.91,-28.711,10,17,334,448,2,3,0,3,.,1,4,.,2,5,,,
153,-1.801,-18.671,3,2,353,489,2,3,0,3,.,1,4,.,2,5,,,
154,18.738,21.399,4,5,448,603,2,3,0,3,.,1,4,.,2,5,,,
155,60.12,7.788,25,1,298,437,2,3,0,3,.,1,4,.,2,5,,,
156,43.079,42.017,3,20,396,547,2,3,0,3,.,1,4,.,2,5,,,
157,-39.435,-5.902,22,19,209,388,2,3,0,3,.,1,4,.,2,5,,,
158,-35.889,-16.034,19,13,60,173,2,3,0,3,.,1,4,.,2,5,,,
159,-41.827,38.995,20,10,104,205,2,3,0,3,.,1,4,.,2,5,,,
160,84.497,29.822,7,9,257,351,2,3,0,3,.,1,4,.,2,5,,,
161,-17.56,-10.48,19,14,283,426,2,3,0,3,.,1,4,.,2,5,,,
162,-48.383,-48.92,19,4,162,341,2,3,0,3,.,1,4,.,2,5,,,
163,-49.335,-17.969,22,20,283,377,1,6,0,.,1,.,2,.,3,.,4,.,5
164,16.095,-2.49,4,17,104,203,1,6,0,.,1,.,2,.,3,.,4,.,5
165,65.527,14.026,25,19,219,335,1,6,0,.,1,.,2,.,3,.,4,.,5
166,-2.93,13.22,23,19,112,211,1,6,0,.,1,.,2,.,3,.,4,.,5
167,-18.768,-23.663,24,16,224,386,1,6,0,.,1,.,2,.,3,.,4,.,5
168,-91.095,-80.737,25,4,335,500,1,6,0,.,1,.,2,.,3,.,4,.,5
169,-21.088,-13.293,4,1,233,342,1,6,0,.,1,.,2,.,3,.,4,.,5
170,46.985,17.224,3,21,450,601,1,6,0,.,1,.,2,.,3,.,4,.,5
171,-61.957,-33.038,7,9,69,215,1,6,0,.,1,.,2,.,3,.,4,.,5
172,-9.003,-25.452,10,2,391,531,1,6,0,.,1,.,2,.,3,.,4,.,5
173,33.661,-7.666,10,24,356,473,1,6,0,.,1,.,2,.,3,.,4,.,5
174,-25.592,-10.84,23,1,344,508,1,6,0,.,1,.,2,.,3,.,4,.,5
175,36.56,-2.441,18,21,454,602,1,6,0,.,1,.,2,.,3,.,4,.,5
176,7.141,24.817,8,13,270,440,1,6,0,.,1,.,2,.,3,.,4,.,5
177,-43.17,-30.487,16,15,253,430,1,6,0,.,1,.,2,.,3,.,4,.,5
178,-21.228,0.751,4,4,230,365,1,6,0,.,1,.,2,.,3,.,4,.,5
179,19.696,10.767,14,10,309,485,1,6,0,.,1,.,2,.,3,.,4,.,5
180,-6.494,-29.425,23,19,104,255,1,6,0,.,1,.,2,.,3,.,4,.,5
181,54.388,8.63,17,1,468,602,1,6,0,.,1,.,2,.,3,.,4,.,5
182,64.203,77.612,7,25,415,541,1,6,0,.,1,.,2,.,3,.,4,.,5
183,40.381,1.611,8,3,273,405,1,6,0,.,1,.,2,.,3,.,4,.,5
184,-41.711,-5.133,14,21,303,457,1,6,0,.,1,.,2,.,3,.,4,.,5
185,74.274,-19.922,22,7,452,579,1,6,0,.,1,.,2,.,3,.,4,.,5
186,-73.999,-54.626,7,18,256,403,1,6,0,.,1,.,2,.,3,.,4,.,5
187,29.706,15.454,16,3,391,543,1,6,0,.,1,.,2,.,3,.,4,.,5
188,23.785,12.177,24,1,183,305,1,6,0,.,1,.,2,.,3,.,4,.,5
