Category,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,
PVRPTW,3,48,500,200,1,4,,,,,,,,,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT,frequency of visit,number of possible visit combinations,list of all possible visit combinations,,,,,,
1,-29.73,64.136,2,12,288,519,4,1,0,1,2,3,,,
2,-30.664,5.463,7,8,101,392,4,1,0,1,2,3,,,
3,51.642,5.469,21,16,248,462,4,1,0,1,2,3,,,
4,-13.171,69.336,24,5,198,552,4,1,0,1,2,3,,,
5,-67.413,68.323,1,12,184,447,4,1,0,1,2,3,,,
6,48.907,6.274,17,5,135,417,4,1,0,1,2,3,,,
7,5.243,22.26,6,13,71,414,4,1,0,1,2,3,,,
8,-65.002,77.234,5,20,190,484,4,1,0,1,2,3,,,
9,-4.175,-1.569,7,13,100,455,4,1,0,1,2,3,,,
10,23.029,11.639,1,18,196,428,4,1,0,1,2,3,,,
11,25.482,6.287,4,7,185,483,4,1,0,1,2,3,,,
12,-42.615,-26.392,10,6,125,471,4,1,0,1,2,3,,,
13,-76.672,99.341,2,9,144,405,2,2,0,2,.,1,3,,
14,-20.673,57.892,16,9,66,248,2,2,0,2,.,1,3,,
15,-52.039,6.567,23,4,243,600,2,2,0,2,.,1,3,,
16,-41.376,50.824,18,25,166,493,2,2,0,2,.,1,3,,
17,-91.943,27.588,3,5,197,500,2,2,0,2,.,1,3,,
18,-65.118,30.212,15,17,255,611,2,2,0,2,.,1,3,,
19,18.597,96.716,13,3,128,311,2,2,0,2,.,1,3,,
20,-40.942,83.209,10,16,190,445,2,2,0,2,.,1,3,,
21,-37.756,-33.325,4,25,140,445,2,2,0,2,.,1,3,,
22,23.767,29.083,23,21,176,463,2,2,0,2,.,1,3,,
23,-43.03,20.453,20,14,105,368,2,2,0,2,.,1,3,,
24,-35.297,-24.896,10,19,167,437,2,2,0,2,.,1,3,,
25,-54.755,14.368,4,14,155,455,1,4,0,.,1,.,2,.,3
26,-49.329,33.374,2,6,247,506,1,4,0,.,1,.,2,.,3
27,57.404,23.822,23,16,93,358,1,4,0,.,1,.,2,.,3
28,-22.754,55.408,6,9,144,502,1,4,0,.,1,.,2,.,3
29,-56.622,73.34,8,20,172,484,1,4,0,.,1,.,2,.,3
30,-38.562,-3.705,10,13,241,454,1,4,0,.,1,.,2,.,3
31,-16.779,19.537,7,10,231,486,1,4,0,.,1,.,2,.,3
32,-11.56,11.615,1,16,89,325,1,4,0,.,1,.,2,.,3
33,-46.545,97.974,21,19,119,424,1,4,0,.,1,.,2,.,3
34,16.229,9.32,6,22,136,381,1,4,0,.,1,.,2,.,3
35,1.294,7.349,4,14,92,356,1,4,0,.,1,.,2,.,3
36,-26.404,29.529,13,10,294,578,1,4,0,.,1,.,2,.,3
37,4.352,14.685,9,11,257,534,1,4,0,.,1,.,2,.,3
38,-50.665,-23.126,22,15,80,264,1,4,0,.,1,.,2,.,3
39,-22.833,-9.814,22,13,152,354,1,4,0,.,1,.,2,.,3
40,-71.1,-18.616,18,15,195,503,1,4,0,.,1,.,2,.,3
41,-7.849,32.074,10,8,178,523,1,4,0,.,1,.,2,.,3
42,11.877,-24.933,25,22,217,442,1,4,0,.,1,.,2,.,3
43,-18.927,-23.73,23,24,220,499,1,4,0,.,1,.,2,.,3
44,-11.92,11.755,4,3,160,411,1,4,0,.,1,.,2,.,3
45,29.84,11.633,9,25,277,532,1,4,0,.,1,.,2,.,3
46,12.268,-55.811,17,19,122,408,1,4,0,.,1,.,2,.,3
47,-37.933,-21.613,10,21,128,464,1,4,0,.,1,.,2,.,3
48,42.883,-2.966,17,10,244,585,1,4,0,.,1,.,2,.,3
49,-10.442,19.999,0,0,0,1000,0,0,0,,,,,,
