Category,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,,,,,
PVRPTW,16,288,425,170,1,6,,,,,,,,,,,,,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT,frequency of visit,number of possible visit combinations,list of all possible visit combinations,,,,,,,,,,
1,12.805,1.886,15,10,94,321,6,1,0,1,2,3,4,5,,,,,
2,18.213,1.373,7,21,112,359,6,1,0,1,2,3,4,5,,,,,
3,57.947,-48.779,10,8,159,409,6,1,0,1,2,3,4,5,,,,,
4,-52.429,-84.088,20,23,256,503,6,1,0,1,2,3,4,5,,,,,
5,60.797,-32.593,11,10,61,361,6,1,0,1,2,3,4,5,,,,,
6,23.151,4.205,7,9,189,384,6,1,0,1,2,3,4,5,,,,,
7,25.385,22.986,14,21,69,284,6,1,0,1,2,3,4,5,,,,,
8,25.513,-52.985,15,16,164,512,6,1,0,1,2,3,4,5,,,,,
9,-49.261,-41.718,8,21,135,321,6,1,0,1,2,3,4,5,,,,,
10,-37.561,-41.73,5,3,165,414,6,1,0,1,2,3,4,5,,,,,
11,-14.52,48.962,17,24,204,488,6,1,0,1,2,3,4,5,,,,,
12,41.229,-24.5,1,2,213,452,6,1,0,1,2,3,4,5,,,,,
13,-21.863,0.916,3,4,75,270,6,1,0,1,2,3,4,5,,,,,
14,-48.181,-16.284,8,18,148,443,6,1,0,1,2,3,4,5,,,,,
15,-7.776,44.348,14,5,193,436,6,1,0,1,2,3,4,5,,,,,
16,20.801,10.76,3,13,230,531,6,1,0,1,2,3,4,5,,,,,
17,-29.712,-46.326,6,13,110,462,6,1,0,1,2,3,4,5,,,,,
18,-20.203,-59.564,23,14,183,523,6,1,0,1,2,3,4,5,,,,,
19,-87.079,-52.899,14,10,99,291,6,1,0,1,2,3,4,5,,,,,
20,3.046,-6.305,1,3,183,425,6,1,0,1,2,3,4,5,,,,,
21,11.865,5.261,2,1,232,465,6,1,0,1,2,3,4,5,,,,,
22,-24.072,-55.927,17,11,207,436,6,1,0,1,2,3,4,5,,,,,
23,-22.803,5.658,15,16,249,523,6,1,0,1,2,3,4,5,,,,,
24,-51.904,9.412,18,6,299,551,6,1,0,1,2,3,4,5,,,,,
25,12.732,-40.967,15,18,69,290,6,1,0,1,2,3,4,5,,,,,
26,-30.988,7.654,7,11,83,328,6,1,0,1,2,3,4,5,,,,,
27,37.512,0.458,4,15,176,392,6,1,0,1,2,3,4,5,,,,,
28,2.954,-8.563,24,17,70,390,6,1,0,1,2,3,4,5,,,,,
29,0.549,3.644,18,17,280,498,6,1,0,1,2,3,4,5,,,,,
30,-52.484,9.711,2,1,219,458,6,1,0,1,2,3,4,5,,,,,
31,33.936,-48.718,4,1,69,341,6,1,0,1,2,3,4,5,,,,,
32,-13.129,-53.601,11,18,226,488,6,1,0,1,2,3,4,5,,,,,
33,-99.591,23.303,25,3,202,511,6,1,0,1,2,3,4,5,,,,,
34,6.439,-3.516,15,21,100,280,6,1,0,1,2,3,4,5,,,,,
35,-14.032,-19.818,18,22,147,500,6,1,0,1,2,3,4,5,,,,,
36,-24.677,16.608,9,14,240,494,6,1,0,1,2,3,4,5,,,,,
37,-10.26,-81.769,23,4,152,486,6,1,0,1,2,3,4,5,,,,,
38,35.858,5.597,22,17,283,606,6,1,0,1,2,3,4,5,,,,,
39,-11.603,42.908,9,16,114,327,6,1,0,1,2,3,4,5,,,,,
40,-34.662,-15.466,20,8,248,522,6,1,0,1,2,3,4,5,,,,,
41,66.852,1.135,13,14,210,537,6,1,0,1,2,3,4,5,,,,,
42,6.866,-1.416,3,23,155,434,6,1,0,1,2,3,4,5,,,,,
43,1.66,-2.234,6,1,160,488,6,1,0,1,2,3,4,5,,,,,
44,37.561,11.45,18,21,168,403,6,1,0,1,2,3,4,5,,,,,
45,51.672,-26.343,9,10,299,518,6,1,0,1,2,3,4,5,,,,,
46,19.025,-10.889,24,19,105,317,6,1,0,1,2,3,4,5,,,,,
47,-37.982,-6.36,19,6,119,359,6,1,0,1,2,3,4,5,,,,,
48,-56.537,-42.334,11,4,119,394,6,1,0,1,2,3,4,5,,,,,
49,1.099,-14.624,14,18,112,349,6,1,0,1,2,3,4,5,,,,,
50,-56.238,-3.076,15,23,184,407,6,1,0,1,2,3,4,5,,,,,
51,-23.669,-15.289,5,25,164,456,6,1,0,1,2,3,4,5,,,,,
52,-34.277,-1.41,18,17,205,513,6,1,0,1,2,3,4,5,,,,,
53,-64.178,63.812,22,11,93,293,6,1,0,1,2,3,4,5,,,,,
54,-47.083,-20.386,13,20,294,541,6,1,0,1,2,3,4,5,,,,,
55,-33.71,8.38,11,9,149,433,6,1,0,1,2,3,4,5,,,,,
56,34.29,26.031,11,23,153,423,6,1,0,1,2,3,4,5,,,,,
57,-38.861,42.114,1,14,99,332,6,1,0,1,2,3,4,5,,,,,
58,-92.731,44.885,25,7,231,519,6,1,0,1,2,3,4,5,,,,,
59,23.633,27.643,19,15,241,505,6,1,0,1,2,3,4,5,,,,,
60,-67.139,-67.078,13,22,235,580,6,1,0,1,2,3,4,5,,,,,
61,25.726,-25.836,7,4,84,280,6,1,0,1,2,3,4,5,,,,,
62,-40.985,-16.895,2,14,292,566,6,1,0,1,2,3,4,5,,,,,
63,77.008,-6.097,16,24,206,424,6,1,0,1,2,3,4,5,,,,,
64,-54.81,-1.935,2,13,122,385,6,1,0,1,2,3,4,5,,,,,
65,-53.943,-29.663,1,9,142,498,6,1,0,1,2,3,4,5,,,,,
66,16.089,-27.887,19,3,298,544,6,1,0,1,2,3,4,5,,,,,
67,-59.436,36.487,24,23,216,497,6,1,0,1,2,3,4,5,,,,,
68,34.473,25.391,19,2,237,440,6,1,0,1,2,3,4,5,,,,,
69,-9.283,-6.689,24,23,167,398,6,1,0,1,2,3,4,5,,,,,
70,-85.559,-20.477,10,8,141,488,6,1,0,1,2,3,4,5,,,,,
71,29.523,18.347,19,23,80,276,6,1,0,1,2,3,4,5,,,,,
72,27.814,6.512,1,13,60,289,6,1,0,1,2,3,4,5,,,,,
73,42.151,-25.58,19,25,82,376,3,2,0,2,4,.,1,3,5,,,,
74,82.202,85.828,25,25,189,434,3,2,0,2,4,.,1,3,5,,,,
75,-47.766,-35.59,24,20,227,429,3,2,0,2,4,.,1,3,5,,,,
76,22.015,-20.349,11,9,141,385,3,2,0,2,4,.,1,3,5,,,,
77,-55.756,-33.49,7,15,152,385,3,2,0,2,4,.,1,3,5,,,,
78,62.006,-1.453,25,4,93,434,3,2,0,2,4,.,1,3,5,,,,
79,25.549,-3.796,3,1,158,429,3,2,0,2,4,.,1,3,5,,,,
80,-43.372,-7.379,3,7,113,391,3,2,0,2,4,.,1,3,5,,,,
81,60.297,52.637,18,12,198,452,3,2,0,2,4,.,1,3,5,,,,
82,-96.155,34.1,18,5,88,331,3,2,0,2,4,.,1,3,5,,,,
83,-32.806,-3.845,9,8,93,317,3,2,0,2,4,.,1,3,5,,,,
84,-47.827,-45.203,21,1,156,383,3,2,0,2,4,.,1,3,5,,,,
85,-31.128,-93.848,21,24,92,284,3,2,0,2,4,.,1,3,5,,,,
86,-17.01,-21.857,21,23,224,515,3,2,0,2,4,.,1,3,5,,,,
