MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
MDVRPTW,4,33,8,3000,1,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,17.3765,2.16425,1,174,1,3
2,23.9753,6.47826,1,284,2,4
3,26.1852,11.6329,1,286,4,6
4,31.6358,14.0773,1,237,4,6
5,34.9444,10.9614,0.5,112,2,4
6,44.5679,1.47343,1,292,4,6
7,52.4321,5.87923,1,289,4,6
8,51.4815,13.8357,0.5,109,4,6
9,9.37654,20.256,1,182,1,3
10,51.284,32.715,2,450,0,3
11,38.8951,27.3478,1,188,5,7
12,41.4383,31.2126,1,208,4,6
13,47.5432,32.285,0.5,144,5,7
14,48.821,36.2995,1,234,5,7
15,33.8889,43.4444,1,168,5,7
16,28.1111,39.57,0.5,117,1,3
17,23.9815,43.9372,0.5,120,1,3
18,15.9136,43.4444,0.5,93,0,3
19,21.8889,40.1594,1,213,1,3
20,23.463,36.3816,1.5,406,0,2
21,16.7778,37.0676,1.5,303,1,3
22,28.5123,34.087,1,166,4,6
23,21.5988,33.9372,1.5,334,1,3
24,23.8704,29.0966,0.5,142,0,3
25,17.8148,29.0145,1,239,1,3
26,7.43827,30.7391,1,213,4,6
27,6.74074,37.9807,1,223,4,6
28,18.9938,5.90821,1.5,342,0,2
29,30.4383,10.744,1.5,419,1,3
30,43.3765,5.30918,1.5,350,0,2
31,49.1049,39.686,1.5,433,1,3
32,15.1481,39.087,2,573,0,3
33,33.7593,39.4444,2,458,1,3
34,2.67901,24.8841,0,0,0,10
